# Model|Interface|RPM|Cache-MB|IMG
ST4000VX007|SATA 6||64|seagate/ST4000VX007.png
ST6000VX0023|SATA 6||256|seagate/ST6000VX0023.png
ST2000LV000||||seagate/ST2000LV000.png
ST1000LM048||||seagate/ST1000LM048.png
ST2000LM015||||seagate/ST2000LM015.png
ST500LM030||||seagate/ST500LM030.png
ST4000DM006|SATA 6|7200|128|seagate/ST4000DM006.png
ST6000DM004|SATA 6|7200|256|seagate/ST6000DM004.png
ST8000DM005|SATA 6|7200|256|seagate/ST8000DM005.png
ST8000DM004||||seagate/ST8000DM004.png
ST10000DM0004|SATA 6|7200|256|seagate/ST10000DM0004.png
ST1000DX002||||seagate/ST1000DX002.png
ST2000DX002||||seagate/ST2000DX002.png
ST1000LX015||||seagate/ST1000LX015.png
ST2000LX001||||seagate/ST2000LX001.png
ST500LX025||||seagate/ST500LX025.png
ST1000VN002|SATA 6|5900|64|seagate/ST1000VN002.png
ST2000NE0025|SATA 6|7200|128|seagate/ST2000NE0025.png
ST2000VN004|SATA 6|5900|64|seagate/ST2000VN004.png
ST4000VN008|SATA 6|5900|64|seagate/ST4000VN008.png
ST3000VN007|SATA 6|5900|64|seagate/ST3000VN007.png
ST6000VN0041|SATA 6|7200|128|seagate/ST6000VN0041.png
ST8000VN0022|SATA 6|7200|256|seagate/ST8000VN0022.png
ST10000VN0004|SATA 6|7200|256|seagate/ST10000VN0004.png
ST4000NE0025|SATA 6|7200|128|seagate/ST4000NE0025.png
ST6000NE0021|SATA 6|7200|256|seagate/ST6000NE0021.png
ST8000NE0021|SATA 6|7200|256|seagate/ST8000NE0021.png
ST8000NE0004|SATA 6|7200|256|seagate/ST8000NE0004.png
ST10000NE0004|SATA 6|7200|256|seagate/ST10000NE0004.png
ST1000VX005|SATA 6||64|seagate/ST1000VX005.png
ST3000VX010|SATA 6||64|seagate/ST3000VX010.png
ST8000VX0022|SATA 6||256|seagate/ST8000VX0022.png
ST10000VX004||||seagate/ST10000VX004.png
ST10000VX0004|SATA 6||256|seagate/ST10000VX0004.png
# 250GB
ST250DM000|SATA 6||16|seagate/Desktop.png
# 320GB
ST320DM000|SATA 6||16|seagate/Desktop 320GB.png
# 500GB
ST35006||7200||seagate/Desktop HDD 500GB.png
ST35004||7200||seagate/Desktop HDD 500GB.png
ST35003||7200||seagate/Desktop HDD 500GB.png
ST500DM||7200||seagate/Desktop HDD 500GB.png
ST500DM002|SATA 6||16|seagate/Desktop HDD 500GB.png
# 750GB
#ST37503||7200||
#ST37506||7200||
#ST37505||7200||
# 1TB
ST310003||7200||seagate/Barracuda 1TB.png
ST310006||7200||seagate/Barracuda 1TB.png
ST310005||7200||seagate/Barracuda 1TB.png
ST1000DM||7200||seagate/Barracuda 1TB.png
ST1000DL||5900||seagate/Barracuda 1TB.png
ST31000528AS|SATA 6|7200|32|seagate/Barracuda 1TB.png
ST31000333AS|SATA 3|7200|32|seagate/Barracuda 1TB.png
ST31000524AS|SATA 6|7200|32|seagate/Barracuda 1TB.png
ST31000524NS|SATA 3|7200|32|seagate/Barracuda 1TB.png
ST31000340SV|SATA 3|7200|32|seagate/Enterprise 1TB.png
ST1000NM0043|SAS 6|7200|128|seagate/Enterprise 1TB.png
ST31000425SS|SAS 6|7200|16|seagate/Barracuda 1TB.png
ST1000NM0055|SAS 12|7200|128|seagate/Enterprise 1TB.png
ST1000NM0045|SAS 12|7200|128|seagate/Enterprise 1TB.png
ST1000NM0011|SATA 6|7200|64|seagate/Enterprise 1TB.png
ST1000VN000|SATA 6||64|seagate/NAS.png
ST1000VX|SATA 6||64|seagate/Surveillance 1TB.png
ST1000VX003|SATA 6||64|seagate/Surveillance 1TB.png
ST1000DM004|SATA 6||64|seagate/Barracuda 1TB.png
ST1000DM003|SATA 6||64|seagate/Barracuda 1TB.png
ST1000NM0033|SATA 6|7200|128|seagate/Enterprise 1TB.png
ST1000NM0023|SAS 6|7200|128|seagate/Enterprise 1TB.png
ST1000NM0065|SATA 6|7200|128|seagate/Enterprise 1TB.png
ST1000NM0075|SAS 12|7200|128|seagate/Enterprise 1TB.png
ST1000NM0001|SAS 6|7200|64|seagate/Enterprise 1TB.png
ST31000424SS|SAS 6|7200|16|seagate/Enterprise 1TB.png
ST1000VX001|SATA 6||64|seagate/Surveillance 1TB.png
ST1000VM002|SATA 6|5900|64|seagate/Surveillance 1TB.png
# 1.5TB
#ST315005||5900||
#ST1500DM||7200||
#ST1500DL||5900||
#ST315003||7200||
ST2000DL003|SATA 6|5900|64|seagate/Desktop HDD 2TB.png
ST320005||5900||seagate/Desktop HDD 2TB.png
ST320006|SATA 6|7200||seagate/Desktop HDD 2TB.png
ST2000DM00||64||seagate/Desktop HDD 2TB.png
STBD20001|SATA 6|7200|64|seagate/Desktop HDD 2TB.png
ST2000DL|SATA 3|5900|32|seagate/Desktop HDD 2TB.png
ST600MM0208|SAS 12|10000|128|seagate/ST600MM0208.png
ST900MM0128|SAS12|10000|128|seagate/Enterprise 10K.png
# 1.2TB
ST1200MM0158|SAS12|10000|128|seagate/Enterprise 10K.png
ST1200MM0017|SAS 6|10000|64|seagate/Enterprise 10K 1.2TB.png
# 1.8TB
ST1800MM0128|SAS 12|10000|128|seagate/Enterprise 10K 1.8TB.png
# 2TB
ST2000DX001|SATA 6||64|seagate/Desktop SSHD 2TB.png
#Following two same drive
ST2000NM0033|SATA 6|7200|128|seagate/Enterprise 2TB.png
MB2000EXWCR|SATA 6|7200|128|seagate/Desktop HDD 2TB.png
ST2000DM001|SATA 6||64|seagate/Desktop HDD 2TB.png
ST2000NM0055|SATA 6|7200|128|seagate/Enterprise 2TB.png
ST2000NM0045|SAS 12|7200|128|seagate/Enterprise 2TB.png
ST2000VN000|SATA 6||64|seagate/NAS 2TB.png
ST2000VN0011|SATA 6|7200|128|seagate/NAS 2TB.png
ST2000NM0125|SATA 6|7200|128|seagate/Enterprise 2TB.png
ST2000NM0105|SATA 6|7200|128|seagate/Enterprise 2TB.png
ST2000NM0023|SAS 6|7200|128|seagate/Enterprise 2TB.png
ST2000NM0115|SAS 12|7200|128|seagate/Enterprise 2TB.png
ST2000NM0065|SATA 6|7200|128|seagate/Enterprise 2TB.png
ST2000NM0085|SAS 12|7200|128|seagate/Enterprise 2TB.png
ST2000NM0135|SAS 12|7200|128|seagate/Enterprise 2TB.png
ST2000VM003|SATA 6|5900|64|seagate/Surveillance.png
# 3TB
ST330006|SATA 6|7200||seagate/Barracuda 3TB.png
ST3000NC|SATA 6|7200|64|seagate/Barracuda 3TB.png
ST3000VX002|SATA 6|5900|64|seagate/Surveillance.png
ST300DM008|SATA 6||64|seagate/Barracuda 3TB.png
ST3000NM0005|SATA 6|7200|128|seagate/Enterprise 3TB.png
ST3000NM0033|SATA 6|7200|128|seagate/Enterprise 3TB.png
ST3000DM001|SATA 6|7200|64|seagate/Desktop 3TB.png
ST3000VN000|SATA 6||64|seagate/NAS 3TB.png
ST3000NM0023|SATA 6|7200|64|seagate/Enterprise 3TB.png
ST3000NM0025|SATA 6|7200|64|seagate/Enterprise 3TB.png
ST3000NM0053|SATA 6|7200|128|seagate/Enterprise 3TB.png
ST3000NM0015|SATA 6|7200|128|seagate/Enterprise 3TB.png
ST3000DM003|SATA 6|5900|64|seagate/Desktop 3TB.png
ST3000VX005|SATA 6||64|seagate/Surveillance 3TB.png
ST2000VX003|SATA 6||64|seagate/Surveillance 3TB.png
ST3000DM002|SATA 6||64|seagate/Desktop 3TB.png
ST3000VM002|SATA 6|5900|64|seagate/Surveillance 3TB.png
# 4TB
ST4000NM0035|SATA 6|7200|128|seagate/Enterprise 4TB.png
ST4000NM0025|SAS 12|7200|128|seagate/Enterprise 4TB.png
ST4000VN000|SATA 6||64|seagate/NAS 4TB.png
ST4000VN0001|SATA 6|7200|128|seagate/NAS 4TB.png
ST4000VN003|SATA 6|5900|64|seagate/NAS 4TB.png
ST4000VX002|SATA 6||64|seagate/Surveillance 4TB.png
ST4000VX000|SATA 6||64|seagate/Surveillance 4TB.png
ST4000NM0033|SATA 6|7200|128|seagate/Enterprise 4TB.png
ST4000DM004|SATA 6||256|seagate/Barracuda 4TB.png
